[2025-10-22 16:21:57.737035] pH 7.70 | NH3 17.03 ppm | Temp 24.94 °C
[2025-10-22 16:25:09.490609] pH 7.67 | NH3 16.34 ppm | Temp 24.94 °C
[2025-10-22 16:25:13.569568] pH 7.60 | NH3 16.06 ppm | Temp 24.94 °C
[2025-10-22 16:25:17.658135] pH 7.67 | NH3 16.23 ppm | Temp 24.88 °C
[2025-10-22 16:25:21.734014] pH 7.61 | NH3 16.24 ppm | Temp 24.94 °C
[2025-10-22 16:25:25.802764] pH 7.68 | NH3 16.21 ppm | Temp 24.94 °C
[2025-10-22 16:25:29.897356] pH 7.69 | NH3 16.20 ppm | Temp 24.94 °C
[2025-10-22 16:25:33.971195] pH 7.68 | NH3 15.99 ppm | Temp 24.94 °C
[2025-10-22 16:25:38.056970] pH 7.67 | NH3 16.17 ppm | Temp 24.94 °C
[2025-10-22 16:25:42.120794] pH 7.65 | NH3 16.21 ppm | Temp 24.94 °C
[2025-10-22 16:25:46.211195] pH 7.61 | NH3 16.28 ppm | Temp 24.94 °C
[2025-10-22 16:25:50.281077] pH 7.60 | NH3 16.14 ppm | Temp 24.88 °C
[2025-10-22 16:25:54.382576] pH 7.59 | NH3 16.30 ppm | Temp 24.88 °C
[2025-10-22 16:25:58.456556] pH 7.59 | NH3 16.34 ppm | Temp 24.94 °C
[2025-10-22 16:26:02.537117] pH 7.59 | NH3 16.25 ppm | Temp 24.88 °C
[2025-10-22 16:26:06.608944] pH 7.60 | NH3 16.13 ppm | Temp 24.94 °C
[2025-10-22 16:26:10.695635] pH 7.61 | NH3 16.10 ppm | Temp 24.94 °C
[2025-10-22 16:26:14.778016] pH 7.63 | NH3 16.06 ppm | Temp 24.88 °C
[2025-10-22 16:26:18.854983] pH 7.68 | NH3 16.21 ppm | Temp 24.94 °C
[2025-10-22 16:26:22.930456] pH 7.68 | NH3 16.12 ppm | Temp 24.88 °C
[2025-10-22 16:26:27.017802] pH 7.67 | NH3 16.15 ppm | Temp 24.88 °C
[2025-10-22 16:26:31.095059] pH 7.64 | NH3 16.13 ppm | Temp 24.94 °C
[2025-10-22 16:26:35.166478] pH 7.61 | NH3 15.95 ppm | Temp 24.94 °C
[2025-10-22 16:26:39.249730] pH 7.59 | NH3 16.18 ppm | Temp 24.94 °C
[2025-10-22 16:26:43.335628] pH 7.60 | NH3 16.16 ppm | Temp 24.94 °C
[2025-10-22 16:26:47.410485] pH 7.61 | NH3 16.09 ppm | Temp 24.88 °C
[2025-10-22 16:26:51.498236] pH 7.63 | NH3 16.16 ppm | Temp 24.94 °C
[2025-10-22 16:26:55.571236] pH 7.66 | NH3 16.11 ppm | Temp 24.94 °C
[2025-10-22 16:26:59.655056] pH 7.69 | NH3 16.07 ppm | Temp 24.94 °C
[2025-10-22 16:27:03.733827] pH 7.68 | NH3 15.98 ppm | Temp 24.94 °C
[2025-10-22 16:27:07.801913] pH 7.67 | NH3 15.96 ppm | Temp 24.94 °C
[2025-10-22 16:27:11.894318] pH 7.66 | NH3 16.12 ppm | Temp 24.94 °C
[2025-10-22 16:27:15.965561] pH 7.65 | NH3 16.06 ppm | Temp 24.94 °C
[2025-10-22 16:27:20.050211] pH 7.61 | NH3 16.07 ppm | Temp 24.88 °C
[2025-10-22 16:27:24.126138] pH 7.59 | NH3 15.95 ppm | Temp 24.94 °C
[2025-10-22 16:27:28.210951] pH 7.60 | NH3 16.05 ppm | Temp 24.88 °C
[2025-10-22 16:27:32.299481] pH 7.60 | NH3 16.07 ppm | Temp 24.94 °C
[2025-10-22 16:27:36.363235] pH 7.60 | NH3 16.07 ppm | Temp 24.94 °C
[2025-10-22 16:27:40.441333] pH 7.61 | NH3 15.68 ppm | Temp 24.94 °C
[2025-10-22 16:27:44.537869] pH 7.61 | NH3 15.96 ppm | Temp 24.94 °C
[2025-10-22 16:27:48.612262] pH 7.63 | NH3 15.62 ppm | Temp 24.94 °C
[2025-10-22 16:27:52.684696] pH 7.67 | NH3 16.00 ppm | Temp 24.94 °C
[2025-10-22 16:27:56.769728] pH 7.68 | NH3 16.05 ppm | Temp 24.88 °C
[2025-10-22 16:28:00.857860] pH 7.67 | NH3 15.94 ppm | Temp 24.94 °C
[2025-10-22 16:28:04.925898] pH 7.66 | NH3 16.02 ppm | Temp 24.88 °C
[2025-10-22 16:28:09.017217] pH 7.61 | NH3 16.08 ppm | Temp 24.94 °C
[2025-10-22 16:28:13.102623] pH 7.60 | NH3 16.05 ppm | Temp 24.94 °C
[2025-10-22 16:28:17.181772] pH 7.61 | NH3 15.96 ppm | Temp 24.94 °C
[2025-10-22 16:28:21.261306] pH 7.62 | NH3 15.95 ppm | Temp 24.88 °C
[2025-10-22 16:28:25.332143] pH 7.66 | NH3 16.00 ppm | Temp 24.88 °C
[2025-10-22 16:28:29.422862] pH 7.68 | NH3 15.98 ppm | Temp 24.88 °C
[2025-10-22 16:28:33.485638] pH 7.68 | NH3 16.01 ppm | Temp 24.88 °C
[2025-10-22 16:28:37.568770] pH 7.68 | NH3 15.89 ppm | Temp 24.88 °C
[2025-10-22 16:28:41.653538] pH 7.67 | NH3 15.81 ppm | Temp 24.88 °C
[2025-10-22 16:28:45.726246] pH 7.67 | NH3 16.05 ppm | Temp 24.88 °C
[2025-10-22 16:28:49.820539] pH 7.66 | NH3 16.22 ppm | Temp 24.88 °C
[2025-10-22 16:28:53.890490] pH 7.63 | NH3 16.17 ppm | Temp 24.88 °C
[2025-10-22 16:28:57.977577] pH 7.60 | NH3 16.23 ppm | Temp 24.88 °C
[2025-10-22 16:29:02.055315] pH 7.60 | NH3 16.27 ppm | Temp 24.88 °C
[2025-10-22 16:29:06.137971] pH 7.62 | NH3 16.30 ppm | Temp 24.88 °C
[2025-10-22 16:29:10.220253] pH 7.63 | NH3 16.59 ppm | Temp 24.88 °C
[2025-10-22 16:29:14.284111] pH 7.68 | NH3 16.58 ppm | Temp 24.88 °C
[2025-10-22 16:29:18.365750] pH 7.68 | NH3 16.74 ppm | Temp 24.94 °C
[2025-10-22 16:29:22.450472] pH 7.67 | NH3 16.84 ppm | Temp 24.88 °C
[2025-10-22 16:29:26.543131] pH 7.62 | NH3 16.89 ppm | Temp 24.88 °C
[2025-10-22 16:29:30.615842] pH 7.61 | NH3 16.90 ppm | Temp 24.88 °C
[2025-10-22 16:29:34.690918] pH 7.62 | NH3 16.93 ppm | Temp 24.88 °C
[2025-10-22 16:29:38.762548] pH 7.68 | NH3 16.99 ppm | Temp 24.88 °C
[2025-10-22 16:29:42.860740] pH 7.61 | NH3 17.20 ppm | Temp 24.88 °C
[2025-10-22 16:29:46.930401] pH 7.65 | NH3 16.98 ppm | Temp 24.88 °C
[2025-10-22 16:29:51.009096] pH 7.60 | NH3 17.04 ppm | Temp 24.88 °C
[2025-10-22 16:29:55.089059] pH 7.61 | NH3 16.95 ppm | Temp 24.94 °C
[2025-10-22 16:29:59.169933] pH 7.63 | NH3 16.87 ppm | Temp 24.88 °C
[2025-10-22 16:30:03.261873] pH 7.68 | NH3 17.02 ppm | Temp 24.88 °C
[2025-10-22 16:30:07.331959] pH 7.69 | NH3 17.08 ppm | Temp 24.88 °C
[2025-10-22 16:30:11.417316] pH 7.68 | NH3 17.07 ppm | Temp 24.94 °C
[2025-10-22 16:30:15.488946] pH 7.67 | NH3 16.83 ppm | Temp 24.88 °C
[2025-10-22 16:30:19.536903] pH 7.63 | NH3 17.00 ppm | Temp 24.88 °C
[2025-10-22 16:30:23.575397] pH 7.62 | NH3 17.13 ppm | Temp 24.88 °C
[2025-10-22 16:30:27.654905] pH 7.63 | NH3 17.24 ppm | Temp 24.88 °C
[2025-10-22 16:30:31.730161] pH 7.65 | NH3 17.20 ppm | Temp 24.94 °C
[2025-10-22 16:30:35.822732] pH 7.67 | NH3 17.28 ppm | Temp 24.88 °C
[2025-10-22 16:30:39.878157] pH 7.67 | NH3 17.11 ppm | Temp 24.88 °C
[2025-10-22 16:30:43.969271] pH 7.68 | NH3 17.00 ppm | Temp 24.88 °C
[2025-10-22 16:30:48.056797] pH 7.68 | NH3 16.96 ppm | Temp 24.88 °C
[2025-10-22 16:30:52.119025] pH 7.68 | NH3 16.94 ppm | Temp 24.94 °C
[2025-10-22 16:30:56.208982] pH 7.68 | NH3 17.06 ppm | Temp 24.94 °C
[2025-10-22 16:31:00.299333] pH 7.69 | NH3 17.06 ppm | Temp 24.88 °C
[2025-10-22 16:31:04.375017] pH 7.68 | NH3 16.76 ppm | Temp 24.88 °C
[2025-10-22 16:31:08.438660] pH 7.68 | NH3 16.74 ppm | Temp 24.94 °C
[2025-10-22 16:31:12.529430] pH 7.67 | NH3 16.95 ppm | Temp 24.94 °C
[2025-10-22 16:31:16.598913] pH 7.66 | NH3 16.97 ppm | Temp 24.94 °C
[2025-10-22 16:31:20.689061] pH 7.63 | NH3 16.71 ppm | Temp 24.88 °C
[2025-10-22 16:31:24.781727] pH 7.61 | NH3 16.47 ppm | Temp 24.88 °C
[2025-10-22 16:31:28.855601] pH 7.62 | NH3 16.36 ppm | Temp 24.94 °C
[2025-10-22 16:31:32.941712] pH 7.67 | NH3 16.57 ppm | Temp 24.88 °C
[2025-10-22 16:31:37.009434] pH 7.68 | NH3 16.62 ppm | Temp 24.88 °C
[2025-10-22 16:31:41.088684] pH 7.63 | NH3 16.94 ppm | Temp 24.88 °C
[2025-10-22 16:31:45.158135] pH 7.61 | NH3 16.95 ppm | Temp 24.94 °C
[2025-10-22 16:31:49.261670] pH 7.65 | NH3 17.01 ppm | Temp 24.88 °C
[2025-10-22 16:31:53.329260] pH 7.68 | NH3 17.14 ppm | Temp 24.88 °C
[2025-10-22 16:31:57.409245] pH 7.66 | NH3 17.05 ppm | Temp 24.88 °C
[2025-10-22 16:32:01.491180] pH 7.61 | NH3 17.03 ppm | Temp 24.88 °C
[2025-10-22 16:32:05.569644] pH 7.62 | NH3 17.03 ppm | Temp 24.88 °C
[2025-10-22 16:32:09.656954] pH 7.66 | NH3 16.93 ppm | Temp 24.88 °C
[2025-10-22 16:32:13.731356] pH 7.68 | NH3 16.80 ppm | Temp 24.88 °C
[2025-10-22 16:32:17.809388] pH 7.68 | NH3 16.49 ppm | Temp 24.88 °C
[2025-10-22 16:32:21.898162] pH 7.64 | NH3 16.64 ppm | Temp 24.88 °C
[2025-10-22 16:32:25.964138] pH 7.61 | NH3 16.64 ppm | Temp 24.88 °C
[2025-10-22 16:32:30.050259] pH 7.65 | NH3 16.55 ppm | Temp 24.88 °C
[2025-10-22 16:32:34.137490] pH 7.68 | NH3 16.56 ppm | Temp 24.88 °C
[2025-10-22 16:32:38.209592] pH 7.68 | NH3 16.40 ppm | Temp 24.88 °C
[2025-10-22 16:32:42.285627] pH 7.68 | NH3 16.29 ppm | Temp 24.88 °C
[2025-10-22 16:32:46.362878] pH 7.68 | NH3 16.14 ppm | Temp 24.88 °C
[2025-10-22 16:32:50.457729] pH 7.68 | NH3 16.44 ppm | Temp 24.88 °C
[2025-10-22 16:32:54.526705] pH 7.68 | NH3 16.37 ppm | Temp 24.88 °C
[2025-10-22 16:32:58.615880] pH 7.69 | NH3 16.52 ppm | Temp 24.88 °C
[2025-10-22 16:33:02.698331] pH 7.64 | NH3 16.58 ppm | Temp 24.88 °C
[2025-10-22 16:33:06.782642] pH 7.61 | NH3 16.62 ppm | Temp 24.88 °C
[2025-10-22 16:33:10.849492] pH 7.64 | NH3 16.59 ppm | Temp 24.88 °C
[2025-10-22 16:33:14.942830] pH 7.69 | NH3 16.65 ppm | Temp 24.88 °C
[2025-10-22 16:33:19.009370] pH 7.62 | NH3 16.61 ppm | Temp 24.88 °C
[2025-10-22 16:33:23.079252] pH 7.69 | NH3 16.62 ppm | Temp 24.88 °C
[2025-10-22 16:33:27.181550] pH 7.61 | NH3 16.42 ppm | Temp 24.88 °C
[2025-10-22 16:33:31.250204] pH 7.70 | NH3 16.59 ppm | Temp 24.88 °C
[2025-10-22 16:33:35.335302] pH 7.62 | NH3 16.48 ppm | Temp 24.88 °C
[2025-10-22 16:33:39.410078] pH 7.68 | NH3 16.69 ppm | Temp 24.88 °C
[2025-10-22 16:33:43.490176] pH 7.62 | NH3 16.38 ppm | Temp 24.88 °C
[2025-10-22 16:33:47.567808] pH 7.67 | NH3 16.48 ppm | Temp 24.88 °C
[2025-10-22 16:33:51.641271] pH 7.64 | NH3 16.76 ppm | Temp 24.88 °C
[2025-10-22 16:33:55.729476] pH 7.62 | NH3 16.90 ppm | Temp 24.88 °C
[2025-10-22 16:33:59.812117] pH 7.69 | NH3 16.68 ppm | Temp 24.88 °C
[2025-10-22 16:34:03.894953] pH 7.67 | NH3 16.90 ppm | Temp 24.88 °C
[2025-10-22 16:34:07.980517] pH 7.62 | NH3 16.90 ppm | Temp 24.88 °C
[2025-10-22 16:34:12.050370] pH 7.64 | NH3 16.90 ppm | Temp 24.88 °C
[2025-10-22 16:34:16.138244] pH 7.62 | NH3 17.12 ppm | Temp 24.88 °C
[2025-10-22 16:34:20.207288] pH 7.63 | NH3 16.45 ppm | Temp 24.88 °C
[2025-10-22 16:34:24.291326] pH 7.63 | NH3 17.12 ppm | Temp 24.88 °C
[2025-10-22 16:34:28.377614] pH 7.69 | NH3 17.66 ppm | Temp 24.88 °C
[2025-10-22 16:34:32.457897] pH 7.62 | NH3 17.39 ppm | Temp 24.88 °C
[2025-10-22 16:34:36.537744] pH 7.63 | NH3 17.50 ppm | Temp 24.88 °C
[2025-10-22 16:34:40.610966] pH 7.69 | NH3 17.65 ppm | Temp 24.88 °C
[2025-10-22 16:34:44.689408] pH 7.62 | NH3 17.84 ppm | Temp 24.88 °C
[2025-10-22 16:34:48.765278] pH 7.67 | NH3 17.94 ppm | Temp 24.88 °C
[2025-10-22 16:34:52.854508] pH 7.68 | NH3 17.92 ppm | Temp 24.88 °C
[2025-10-22 16:34:56.924957] pH 7.62 | NH3 17.95 ppm | Temp 24.88 °C
[2025-10-22 16:35:01.008722] pH 7.69 | NH3 17.73 ppm | Temp 24.88 °C
[2025-10-22 16:35:05.088963] pH 7.67 | NH3 17.67 ppm | Temp 24.88 °C
[2025-10-22 16:35:09.176205] pH 7.62 | NH3 17.81 ppm | Temp 24.88 °C
[2025-10-22 16:35:13.259579] pH 7.68 | NH3 17.73 ppm | Temp 24.88 °C
[2025-10-22 16:35:17.325941] pH 7.69 | NH3 17.48 ppm | Temp 24.88 °C
[2025-10-22 16:35:21.416972] pH 7.63 | NH3 17.66 ppm | Temp 24.88 °C
[2025-10-22 16:35:25.488408] pH 7.63 | NH3 17.53 ppm | Temp 24.88 °C
[2025-10-22 16:35:29.562214] pH 7.68 | NH3 17.51 ppm | Temp 24.88 °C
[2025-10-22 16:35:33.663613] pH 7.69 | NH3 17.57 ppm | Temp 24.88 °C
[2025-10-22 16:35:37.726575] pH 7.63 | NH3 17.50 ppm | Temp 24.88 °C
[2025-10-22 16:35:41.797716] pH 7.62 | NH3 17.46 ppm | Temp 24.88 °C
[2025-10-22 16:35:45.889282] pH 7.68 | NH3 17.57 ppm | Temp 24.88 °C
[2025-10-22 16:35:49.977944] pH 7.69 | NH3 17.19 ppm | Temp 24.88 °C
[2025-10-22 16:35:54.046184] pH 7.66 | NH3 17.26 ppm | Temp 24.88 °C
[2025-10-22 16:35:58.127566] pH 7.62 | NH3 17.24 ppm | Temp 24.88 °C
[2025-10-22 16:36:02.205099] pH 7.62 | NH3 17.11 ppm | Temp 24.88 °C
[2025-10-22 16:36:06.286323] pH 7.67 | NH3 17.04 ppm | Temp 24.88 °C
[2025-10-22 16:36:10.377746] pH 7.69 | NH3 16.80 ppm | Temp 24.88 °C
[2025-10-22 16:36:14.450668] pH 7.68 | NH3 17.03 ppm | Temp 24.88 °C
[2025-10-22 16:36:18.531120] pH 7.63 | NH3 16.80 ppm | Temp 24.88 °C
[2025-10-22 16:36:22.610095] pH 7.62 | NH3 16.66 ppm | Temp 24.88 °C
[2025-10-22 16:36:26.685998] pH 7.63 | NH3 16.78 ppm | Temp 24.88 °C
[2025-10-22 16:36:30.762965] pH 7.65 | NH3 16.75 ppm | Temp 24.88 °C
[2025-10-22 16:36:34.849123] pH 7.67 | NH3 16.80 ppm | Temp 24.88 °C
[2025-10-22 16:36:38.929293] pH 7.68 | NH3 16.83 ppm | Temp 24.88 °C
[2025-10-22 16:36:43.011319] pH 7.68 | NH3 16.93 ppm | Temp 24.88 °C
[2025-10-22 16:36:47.089485] pH 7.67 | NH3 16.76 ppm | Temp 24.94 °C
[2025-10-22 16:36:51.165778] pH 7.68 | NH3 16.66 ppm | Temp 24.88 °C
[2025-10-22 16:36:55.256879] pH 7.67 | NH3 16.57 ppm | Temp 24.88 °C
[2025-10-22 16:36:59.329880] pH 7.66 | NH3 16.87 ppm | Temp 24.88 °C
[2025-10-22 16:37:03.399085] pH 7.66 | NH3 16.91 ppm | Temp 24.88 °C
[2025-10-22 16:37:07.490315] pH 7.65 | NH3 16.88 ppm | Temp 24.88 °C
[2025-10-22 16:37:11.577892] pH 7.64 | NH3 16.76 ppm | Temp 24.88 °C
[2025-10-22 16:37:15.650304] pH 7.63 | NH3 16.63 ppm | Temp 24.94 °C
[2025-10-22 16:37:19.730026] pH 7.63 | NH3 16.76 ppm | Temp 24.88 °C
[2025-10-22 16:37:23.817397] pH 7.63 | NH3 16.75 ppm | Temp 24.88 °C
[2025-10-22 16:37:27.894820] pH 7.63 | NH3 16.65 ppm | Temp 24.88 °C
[2025-10-22 16:37:31.963246] pH 7.63 | NH3 16.59 ppm | Temp 24.88 °C
[2025-10-22 16:37:36.042354] pH 7.62 | NH3 16.46 ppm | Temp 24.88 °C
[2025-10-22 16:37:40.104249] pH 7.65 | NH3 16.22 ppm | Temp 24.88 °C
[2025-10-22 16:37:44.125821] pH 7.63 | NH3 16.65 ppm | Temp 24.88 °C
[2025-10-22 16:37:48.217734] pH 7.65 | NH3 16.43 ppm | Temp 24.88 °C
[2025-10-22 16:37:52.284066] pH 7.68 | NH3 16.34 ppm | Temp 24.88 °C
[2025-10-22 16:37:56.368618] pH 7.68 | NH3 16.25 ppm | Temp 24.88 °C
[2025-10-22 16:38:00.449474] pH 7.68 | NH3 16.37 ppm | Temp 24.88 °C
